 I.A.F. plot information for graphics
   -.9166       1.4793       1.0338
   -.6013        .8089        .6445
   -.7512        .8177        .7651
   -.8639        .8339        .8576
   -.7730        .8471        .7884
   -.8999       1.2886        .9808
   -.9865       1.5195       1.0975
   -.7425        .7320        .7403
   -.8496        .8213        .8437
  -1.0382        .9940       1.0290
   -.9549        .9341        .9506
   -.9176        .6953        .8713
  -1.0935       1.2593       1.1281
  -1.1222       1.2104       1.1406
   -.7273        .7780        .7379
   -.7442        .5688        .7076
  -1.1992       1.2048       1.2004
  -1.7718        .9719       1.6052
   -.8484        .8457        .8478
  -1.3627       1.0362       1.2947
   -.7022        .8347        .7298
  -1.4684       1.0876       1.3891
   -.7499       1.0181        .8057
   -.9029        .6479        .8498
   -.9004       1.3115        .9860
   -.9165       1.5629       1.0512
  -1.8101       1.0029       1.6419
   -.9146        .7375        .8777
   -.9434        .8472        .9234
   -.6626        .8276        .6970
   -.9100        .9138        .9108
   -.8453        .6901        .8130
  -1.6918       1.9919       1.7544
   -.9472        .9529        .9484
  -1.1598        .9127       1.1083
   -.6908        .8166        .7170
   -.8669        .6855        .8291
  -2.1203       1.4414       1.9789
  -1.0585        .7945       1.0035
   -.9663        .9157        .9557
   -.8509        .8819        .8574
  -1.7062       1.1797       1.5965
   -.6077        .5994        .6059
   -.9449        .8634        .9279
   -.5640        .6249        .5767
   -.8362       1.2268        .9176
   -.8662        .6767        .8267
  -1.2412       1.2371       1.2403
   -.8058       1.2448        .8972
  -2.1792       1.2514       1.9859
  -1.1768       1.2419       1.1904
   -.9680       1.0897        .9934
  -1.6812       1.2982       1.6014
   -.9424        .6046        .8720
   -.7677        .7794        .7702
   -.9501        .8247        .9240
   -.9620        .7931        .9268
   -.7094        .8156        .7315
   -.7699       1.0833        .8352
   -.6695        .8791        .7132
   -.9028       1.0011        .9232
  -1.0206       1.1168       1.0407
   -.9104       1.0409        .9376
  -1.2280       2.4266       1.4777
   -.9467       1.0379        .9657
  -1.0678       1.2876       1.1136
   -.7672        .7669        .7671
   -.9673        .7636        .9248
   -.8601        .8558        .8592
   -.7546        .7122        .7457
   -.9438        .8912        .9329
  -1.0025       1.1412       1.0314
   -.9009       1.0275        .9273
   -.8921        .9054        .8948
  -1.0280        .7882        .9781
   -.9538       1.3728       1.0411
  -1.0706        .7313        .9999
  -1.3372       1.0902       1.2858
   -.8281        .8080        .8239
   -.7988        .9479        .8299
   -.7096        .6783        .7031
   -.9139       1.1022        .9531
  -1.0920       1.0285       1.0787
   -.9388        .9243        .9358
   -.9017        .8758        .8963
  -1.3910       1.4452       1.4023
   -.8854       1.0959        .9293
   -.7057       1.0757        .7828
   -.7523        .6894        .7392
   -.8132       1.0982        .8726
  -1.0063       1.3304       1.0738
   -.8620        .7007        .8284
   -.8837        .9793        .9036
   -.8685       1.1875        .9350
   -.8595        .9859        .8859
   -.9695       1.0969        .9961
  -1.0083       1.9292       1.2002
  -1.3942        .9209       1.2956
  -1.0700       1.4454       1.1482
  -1.0105       1.3591       1.0831
   -.7943        .8906        .8144
   -.7370       1.1317        .8192
  -1.1161       1.3548       1.1658
  -1.1412       1.8394       1.2866
  -1.2388        .9727       1.1833
  -1.0312       1.3934       1.1067
   -.8117        .6522        .7784
   -.8173       1.0015        .8556
   -.9516        .7288        .9052
  -1.0399       1.0868       1.0497
   -.6234        .7191        .6434
  -1.0051        .8563        .9741
  -1.8469       1.4158       1.7571
  -1.0809        .6664        .9945
   -.9987        .7541        .9477
  -1.0819       1.0651       1.0784
   -.7857        .8818        .8057
  -1.1818        .8218       1.1068
  -1.2368       1.2375       1.2370
  -1.1297        .9174       1.0855
   -.9702        .8898        .9534
   -.9626        .9149        .9527
  -1.6794        .8021       1.4967
   -.8679        .8119        .8563
  -1.1103        .7292       1.0309
   -.8341        .9051        .8489
  -1.1100       1.1690       1.1223
   -.9839       1.3602       1.0623
   -.8250        .7381        .8069
   -.8237        .9666        .8535
  -1.1254        .8250       1.0628
   -.6211        .5955        .6158
  -1.0101       1.2964       1.0697
   -.6436        .4495        .6031
   -.6558        .8461        .6954
  -1.2352       1.2195       1.2319
  -1.0008        .8831        .9763
   -.8324        .9209        .8509
  -1.0920       1.0470       1.0826
   -.7957        .7255        .7811
  -1.1690       1.9950       1.3410
  -1.3854       1.1926       1.3453
   -.9621       1.4529       1.0643
   -.9039        .8873        .9005
   -.8211        .9227        .8423
   -.7418        .7418        .7418
   -.8671        .6573        .8234
   -.8235       1.2115        .9043
  -1.1132        .6603       1.0188
   -.9339       1.1446        .9778
  -1.0931       1.1114       1.0969
  -1.0398       1.3794       1.1105
   -.9116       1.2262        .9772
   -.7147        .7335        .7186
  -1.1249       2.1369       1.3358
  -1.1207        .8256       1.0592
   -.9017       1.0541        .9334
  -1.0539        .8263       1.0065
   -.9586        .9405        .9549
   -.6830        .5961        .6649
  -1.0441        .8413       1.0019
  -1.3186       1.9844       1.4573
  -1.2083       1.3596       1.2399
   -.9353        .9841        .9455
   -.6603        .7677        .6827
  -1.0991       1.0490       1.0886
   -.8078        .8198        .8103
  -1.6435       1.5298       1.6198
  -1.3094       1.0498       1.2553
   -.9795       1.4945       1.0868
  -1.1780       1.0114       1.1433
   -.8824       1.2631        .9618
   -.7772        .8878        .8002
   -.7861        .8243        .7940
   -.8720        .6261        .8208
  -1.0926        .7077       1.0124
   -.7542        .7158        .7462
   -.8795       1.0048        .9056
   -.6589        .5356        .6332
   -.7875       1.1759        .8684
  -1.0554       1.3785       1.1227
  -1.0168        .9582       1.0046
   -.7643       1.0026        .8139
   -.7812        .8551        .7966
   -.8348        .8396        .8358
  -1.2331       1.0336       1.1915
  -1.1213       1.5101       1.2023
  -2.3071       1.6191       2.1638
   -.8606        .8653        .8616
  -1.3716       1.0404       1.3026
   -.9693       1.2551       1.0288
   -.9866       1.1136       1.0131
   -.7690        .6107        .7360
  -1.1068        .8437       1.0520
  -1.0800        .7704       1.0155
   -.9599       1.0694        .9827
  -1.0445       1.1257       1.0614
  -1.0195       1.2978       1.0775
   -.9421        .7629        .9048
  -1.0683        .8704       1.0271
   -.9293        .8209        .9067
  -1.0851       1.0920       1.0865
   -.8431        .9731        .8702
   -.9356        .7777        .9027
  -1.2030       1.0158       1.1640
  -1.3058        .7859       1.1975
   -.9380        .7643        .9018
  -1.3252        .9765       1.2526
  -1.4017        .8302       1.2826
   -.8441        .8198        .8390
   -.9747       1.5322       1.0909
   -.7167        .8111        .7363
   -.5639        .7201        .5965
  -1.0754       1.0892       1.0782
   -.6682        .8559        .7073
   -.8050        .7803        .7998
   -.8799       1.0051        .9060
   -.8475       1.1019        .9005
   -.8253       1.0278        .8675
   -.8372        .7283        .8145
  -1.0085       1.5275       1.1166
   -.7558        .6326        .7301
   -.6859        .8854        .7275
   -.9118        .8768        .9045
   -.9703        .9178        .9593
   -.6613        .8214        .6947
   -.6914        .9514        .7456
  -1.0240        .7915        .9756
   -.8220       1.1287        .8859
   -.7230       1.2111        .8247
   -.8038        .7770        .7982
   -.8758        .8441        .8692
  -1.1197        .9894       1.0925
   -.6609        .7290        .6751
   -.9239        .8176        .9018
  -1.2146        .8142       1.1312
   -.6896        .7610        .7045
   -.8920       2.2038       1.1653
   -.7523       1.0022        .8044
  -1.3936       1.3791       1.3906
   -.9191        .7481        .8835
   -.6412        .6463        .6423
  -1.0649       1.2714       1.1080
   -.9504       1.5041       1.0657
   -.8511        .7334        .8266
   -.8688       1.0046        .8971
   -.7478        .9346        .7867
   -.9714       1.3259       1.0453
  -1.2557       1.0167       1.2059
  -1.2629       1.1583       1.2411
  -1.3107       1.3731       1.3237
   -.9230        .9102        .9203
  -1.0409        .9341       1.0186
   -.7629        .9572        .8034
   -.5885        .6117        .5933
   -.7403        .9597        .7860
   -.9313        .7808        .8999
  -1.2892        .9277       1.2139
   -.8649        .8930        .8707
  -1.9705       1.0873       1.7865
   -.8425        .8147        .8367
   -.8679        .7900        .8517
   -.8831        .8560        .8775
  -1.1027       2.0039       1.2904
   -.8850       1.1074        .9314
   -.7185        .5965        .6931
  -1.4396       1.5478       1.4622
   -.7712        .9008        .7982
  -2.3128       1.1818       2.0772
   -.8310        .9861        .8633
   -.8550        .6467        .8116
  -1.5173       1.2006       1.4513
   -.8132       1.4480        .9455
  -1.2630       1.0401       1.2166
   -.9224        .8373        .9047
  -1.2377       1.2509       1.2405
   -.8732        .7078        .8387
   -.9547       1.3589       1.0389
   -.6711        .5681        .6496
   -.8296        .9168        .8478
  -1.9019       1.1382       1.7428
  -1.1714        .7502       1.0836
  -1.2456       1.2795       1.2527
   -.9071        .7805        .8807
  -1.1265        .7712       1.0525
   -.8078       1.0984        .8683
  -1.1249       1.5530       1.2141
   -.8490       1.1247        .9064
   -.9258       1.4517       1.0354
  -1.0528        .9832       1.0383
  -1.1119        .7879       1.0444
  -1.1860        .9875       1.1447
   -.6696        .7522        .6868
   -.7903        .9094        .8151
   -.9530       1.1332        .9906
   -.6921        .7660        .7075
  -1.0335        .8781       1.0011
   -.8020        .6207        .7643
  -1.1930       1.8839       1.3369
   -.9057        .9041        .9054
  -1.2119        .9118       1.1494
  -1.1715        .8135       1.0969
  -1.1787       1.3486       1.2141
  -1.0358       1.2056       1.0712
   -.9531        .9503        .9525
  -1.0895       1.2503       1.1230
   -.8828        .7646        .8581
  -1.0052        .7692        .9561
   -.7010        .7994        .7215
  -1.0168        .8185        .9755
  -1.2405        .6411       1.1156
  -1.0527       1.0533       1.0528
   -.8950       1.3523        .9903
  -1.4333        .9022       1.3226
  -1.1994        .9645       1.1505
   -.7677        .8400        .7828
  -1.0592       1.2012       1.0888
  -1.1084       1.1387       1.1147
   -.7697        .9631        .8100
   -.9147        .8194        .8948
   -.8822        .6718        .8384
   -.8330        .7665        .8191
   -.8585       1.1321        .9155
   -.8445        .7207        .8187
   -.8233        .8418        .8272
  -1.4544       1.2434       1.4105
  -1.0472        .7310        .9813
   -.8162        .7594        .8044
   -.7967        .7471        .7864
  -1.4104       1.6322       1.4566
   -.9927        .9651        .9870
   -.8126        .9617        .8436
   -.7065        .6873        .7025
   -.9099       1.3021        .9916
   -.9084       1.2368        .9768
  -1.2556        .8235       1.1656
   -.9738        .9880        .9768
  -1.2068        .7923       1.1205
  -1.3048       1.1444       1.2714
   -.7292        .8144        .7470
   -.6912        .7303        .6993
   -.7553       1.0490        .8165
  -1.0881       1.1708       1.1053
  -1.1800        .7976       1.1004
   -.6523        .6626        .6545
   -.9540       1.2074       1.0068
  -1.0003       1.0257       1.0056
   -.8538        .7971        .8420
   -.9824       1.1508       1.0175
   -.8825        .7089        .8463
  -1.1991        .7441       1.1043
  -1.0442        .8672       1.0073
   -.7553        .8781        .7809
  -1.1046       1.8793       1.2660
  -1.1214       1.6511       1.2317
   -.9560        .9558        .9560
   -.7490        .6740        .7334
  -1.0085       1.1402       1.0359
   -.8609       1.0040        .8908
   -.8470        .8391        .8454
  -1.0425       1.3849       1.1138
  -1.9089        .9686       1.7130
   -.9559        .9313        .9508
  -1.1627        .7583       1.0785
   -.7355        .6101        .7094
   -.8256        .9389        .8492
  -1.3887       1.0054       1.3088
   -.8222        .5774        .7712
   -.9802       1.1183       1.0090
  -1.5057        .9888       1.3980
   -.9326       1.0644        .9600
  -1.3571       1.1388       1.3116
   -.7831        .8805        .8034
  -1.0874       1.1641       1.1034
   -.6930        .7411        .7031
  -1.0336       1.0776       1.0428
   -.8469        .6792        .8119
   -.8990       1.0393        .9282
  -1.0070       1.0534       1.0166
   -.9239       1.0558        .9514
   -.8979        .9560        .9100
   -.8904       1.0473        .9231
   -.9933       1.6187       1.1236
   -.9404        .9881        .9504
  -1.0372       1.3045       1.0929
  -1.1313        .9303       1.0894
   -.8366       1.0934        .8901
  -1.4476        .9411       1.3421
   -.9441        .9189        .9388
   -.7788       1.0014        .8251
   -.9442        .9531        .9461
   -.9016       1.2628        .9769
  -1.2704       1.1742       1.2504
   -.8600        .8623        .8605
   -.9723        .8344        .9436
  -2.1554       1.2424       1.9652
   -.9472       1.0035        .9589
   -.8337        .8274        .8324
   -.9609        .8755        .9431
  -1.6588       1.0482       1.5316
   -.9550       1.0106        .9666
   -.6909        .5783        .6674
   -.7440        .9545        .7878
  -1.3496       1.0606       1.2894
  -1.3510        .8714       1.2511
   -.8105       1.1222        .8754
   -.7485       1.0172        .8045
   -.9904       1.1451       1.0227
  -1.1136       1.7052       1.2368
   -.9927        .8360        .9601
   -.9005        .6350        .8452
   -.8650       1.0310        .8996
   -.8838       1.0293        .9141
   -.8137       1.0625        .8655
   -.6033        .5331        .5886
   -.7344        .8696        .7626
  -1.1209       1.0628       1.1088
   -.8013        .8956        .8209
   -.8735        .9372        .8868
   -.8560        .8540        .8556
   -.8909        .8370        .8797
   -.9456       1.0682        .9711
  -1.0587        .9990       1.0463
   -.7918        .7969        .7929
   -.7629        .7131        .7525
  -1.1010        .7111       1.0198
   -.8444        .9175        .8596
   -.9364        .6912        .8853
   -.8638        .8834        .8679
   -.7920        .9448        .8238
  -1.0317        .6698        .9563
   -.8497       1.0982        .9015
  -1.3442       1.0126       1.2751
  -1.0075        .6726        .9378
   -.9207       1.3121       1.0023
  -1.1749        .5779       1.0505
   -.7102        .7961        .7281
   -.8543       1.1224        .9101
  -1.3323       1.2620       1.3176
  -1.8776       1.7464       1.8503
   -.7315        .9779        .7828
   -.8268        .8052        .8223
  -1.0251        .7125        .9599
   -.7289        .6225        .7067
   -.7755        .7468        .7695
  -1.0292        .7851        .9783
   -.8308       1.1493        .8971
   -.8455       1.0637        .8909
   -.9222        .6180        .8588
  -1.0038        .8491        .9716
   -.7519       1.2980        .8657
   -.8218        .7940        .8160
   -.9198        .7189        .8780
   -.8783        .8396        .8702
   -.7459        .6045        .7165
   -.8763        .7565        .8513
   -.9282        .7758        .8965
  -1.4628        .9713       1.3604
   -.7138        .5604        .6818
  -1.3194       1.2200       1.2987
  -1.1805        .9888       1.1406
   -.9466        .7036        .8960
   -.8541        .9896        .8823
  -1.0124        .9791       1.0055
   -.8013       1.0016        .8431
  -1.0818       1.2069       1.1079
  -1.4428        .9448       1.3390
   -.8236        .6431        .7860
   -.8559        .7775        .8395
  -2.5884       1.4189       2.3448
   -.7585       1.0272        .8145
   -.9234        .8299        .9039
  -1.2585       1.0481       1.2146
  -1.0912       1.2745       1.1294
  -1.2680       1.1478       1.2429
  -1.4233        .8013       1.2937
   -.8840       1.0324        .9149
   -.8778        .8746        .8771
   -.9873        .6688        .9209
  -1.1159        .8762       1.0660
   -.7230        .6399        .7057
  -1.2233        .8496       1.1455
   -.8134        .9118        .8339
   -.9782       1.6334       1.1147
  -1.0603        .8483       1.0161
   -.8483       1.0130        .8826
   -.8343       1.0885        .8873
  -1.3131       1.2210       1.2939
  -1.3534       1.2251       1.3267
  -1.0806       1.1252       1.0899
   -.8906        .9282        .8984
   -.9183       1.1179        .9599
   -.6458       1.0187        .7235
   -.7209        .6334        .7027
  -1.0094       1.1284       1.0342
   -.9695       1.2759       1.0333
  -1.0153        .6584        .9409
   -.8585       1.7359       1.0413
   -.8533        .7644        .8348
  -1.1138        .9498       1.0797
  -1.2713        .8875       1.1913
   -.9166       1.0093        .9359
   -.9102        .6901        .8643
  -1.1662        .9942       1.1304
  -1.1507        .6910       1.0549
  -1.3254        .9939       1.2563
  -1.7243       1.4969       1.6769
   -.9351        .8984        .9275
  -1.6620       1.4070       1.6089
  -1.0753       1.2252       1.1065
   -.7028        .6409        .6899
   -.8206        .5474        .7637
  -1.1161       1.4145       1.1783
   -.7390        .5858        .7070
  -1.3120        .7907       1.2034
  -3.5237       1.8368       3.1723
   -.9044        .7354        .8692
   -.9082        .7642        .8782
   -.8527        .8625        .8548
   -.9115        .7326        .8743
   -.7470        .7059        .7384
   -.8740        .6445        .8261
   -.9721        .9363        .9646
  -1.0572       1.5674       1.1635
   -.9951        .9674        .9894
   -.8981        .9243        .9036
  -1.1921       1.1229       1.1777
   -.7958        .6641        .7684
  -1.3544        .9223       1.2644
   -.8932        .8791        .8903
   -.7745        .7603        .7716
   -.9710        .5810        .8897
   -.9583        .7057        .9057
   -.9010       1.2351        .9706
  -1.0120       1.1310       1.0368
   -.9376       1.1582        .9836
   -.7795        .8789        .8002
  -1.1304       1.3342       1.1728
   -.7613        .8983        .7899
   -.8273        .6892        .7985
   -.6742        .8589        .7127
  -1.0537       1.5986       1.1672
   -.7512        .7558        .7521
   -.7356       1.0283        .7966
  -1.7741        .9856       1.6099
   -.7280        .7805        .7389
  -1.3929        .8249       1.2745
  -1.5075       2.1253       1.6362
   -.8705        .7871        .8532
   -.8081        .9791        .8438
  -1.0860        .9151       1.0504
   -.9486        .8948        .9374
   -.9014        .7908        .8784
   -.7719        .7230        .7617
   -.9224       1.5159       1.0461
   -.7809        .6751        .7588
   -.8967        .8234        .8814
  -1.0816       2.3160       1.3388
  -1.1126       1.3166       1.1551
   -.7841        .9747        .8238
   -.9636        .8946        .9492
   -.6656        .8433        .7026
   -.8460        .8837        .8538
   -.9633        .9117        .9526
  -1.0887        .9315       1.0559
   -.9063        .7514        .8740
   -.8931        .7372        .8606
  -1.3021        .7790       1.1932
   -.9201       1.4161       1.0234
  -1.0450        .8454       1.0034
   -.7718       1.3220        .8864
   -.9797       1.0291        .9900
  -1.3266        .9284       1.2437
  -1.0828        .8012       1.0242
   -.9759        .7123        .9210
  -1.1825        .6948       1.0809
   -.5759        .8200        .6268
   -.7476        .7441        .7469
  -1.3383        .9962       1.2671
  -1.1081       1.3081       1.1498
   -.9979       1.0026        .9988
   -.6673       1.0312        .7431
   -.8176        .7454        .8025
   -.8233        .8896        .8371
   -.6579        .7412        .6752
  -1.0934       1.4924       1.1765
  -1.1638       1.0349       1.1369
   -.8064        .7172        .7879
   -.8098       1.1663        .8841
  -1.6032       1.1962       1.5184
  -1.1422       1.6823       1.2547
  -1.0265        .8101        .9815
   -.9577       1.3483       1.0391
   -.9963        .9866        .9943
  -1.4040        .9698       1.3136
   -.7316        .7080        .7267
   -.8618        .8832        .8663
  -1.0251        .9631       1.0122
   -.9688       1.0020        .9757
   -.6461        .7738        .6727
   -.9071        .8036        .8855
  -1.1000        .9284       1.0642
   -.9017        .9584        .9135
   -.8730       1.0515        .9102
  -1.3121        .8644       1.2188
   -.8733       1.1361        .9280
  -1.0007        .9602        .9923
   -.9608        .8144        .9303
   -.7530        .7624        .7549
  -1.0410        .7533        .9810
   -.8469        .8413        .8458
   -.6799        .5883        .6608
  -1.1383        .9599       1.1011
   -.9072        .9650        .9192
   -.8701        .8170        .8591
  -1.2105       1.1431       1.1964
   -.7855        .8824        .8057
  -1.4603       1.0800       1.3811
  -1.2092        .9409       1.1533
   -.7005        .6059        .6808
  -1.8269       1.2469       1.7061
   -.7124        .7199        .7140
   -.9675       1.2820       1.0330
   -.7775        .7318        .7680
   -.7676       1.3186        .8824
   -.8510        .8636        .8537
  -1.9903       1.2905       1.8445
   -.9416       1.1327        .9814
   -.9226       2.0583       1.1592
   -.7376        .9014        .7717
  -1.2016        .8726       1.1331
  -1.3762        .9962       1.2970
   -.9668       1.6079       1.1004
  -1.0537       1.2405       1.0926
   -.8694        .8100        .8570
   -.8599       1.0502        .8995
   -.7089        .6989        .7068
   -.8608        .8593        .8605
  -2.4805       1.3211       2.2390
   -.8517        .7479        .8300
   -.8282       1.0770        .8800
   -.9777       1.2631       1.0372
  -1.3532       1.2084       1.3230
   -.8256       1.0155        .8652
   -.6973        .7274        .7035
   -.6021        .5588        .5931
   -.6424        .6410        .6421
   -.9945        .8289        .9600
   -.9940        .9666        .9883
   -.7979        .6504        .7672
   -.8326       1.0215        .8720
  -1.0497       1.2602       1.0936
   -.8827       1.2486        .9589
   -.8618        .9064        .8711
  -1.9592       1.0244       1.7644
   -.9921        .9254        .9782
   -.9969        .8593        .9682
  -1.3511       1.1724       1.3139
   -.8328       1.1024        .8889
   -.7954        .9263        .8226
   -.7357        .7700        .7428
  -1.2279       1.1693       1.2157
   -.9367        .8933        .9277
   -.7061        .7757        .7206
   -.9252        .9039        .9207
   -.9095       1.0104        .9305
   -.8114        .9504        .8404
   -.6219        .6620        .6303
  -1.2573        .8330       1.1689
   -.6923        .6035        .6738
  -1.1568        .9271       1.1090
  -1.4927       1.4112       1.4757
   -.7421        .7706        .7480
   -.7754        .9152        .8046
   -.7082        .8560        .7390
   -.7435        .9412        .7847
  -1.0411       1.0905       1.0514
   -.9252        .8578        .9111
   -.8081        .6688        .7791
   -.9164        .6982        .8710
  -1.0833        .8118       1.0268
   -.8511        .9960        .8813
  -1.3562       1.0311       1.2884
  -1.1378        .5792       1.0215
   -.8393        .7691        .8246
  -1.1646       1.0249       1.1355
  -2.8379       1.6860       2.5979
   -.7061        .7060        .7061
   -.8739        .7095        .8396
  -1.3155        .9700       1.2435
  -1.5899       1.0336       1.4740
   -.9129        .9303        .9165
   -.9526        .9130        .9444
   -.8703       1.2911        .9580
   -.7824       1.1731        .8638
   -.7264        .7530        .7319
   -.7506        .7428        .7490
  -1.1635       1.6871       1.2726
  -1.6094       1.4982       1.5862
   -.7319        .8274        .7518
  -1.1384       1.0421       1.1183
   -.7175        .9046        .7565
  -1.5557       1.0122       1.4424
  -1.2149       1.2111       1.2141
  -1.1085        .9589       1.0773
   -.9918        .8235        .9567
   -.8100       1.0534        .8607
   -.9071        .8455        .8943
   -.8315        .9357        .8532
   -.7715        .7685        .7709
   -.7980        .8557        .8100
  -1.0063       1.0939       1.0245
  -1.1967        .8082       1.1157
   -.9415        .7986        .9117
   -.9024       1.8200       1.0936
  -1.2233       1.7026       1.3232
  -1.0650        .7918       1.0081
  -1.5967       1.0375       1.4802
  -1.4974       1.3064       1.4576
  -1.0854       1.7755       1.2292
  -1.0171        .8251        .9771
   -.8718       1.1670        .9333
   -.7284        .6230        .7064
   -.7749        .7516        .7700
   -.8478        .6802        .8129
  -1.2420        .8626       1.1629
   -.8028        .8988        .8228
   -.8174        .7916        .8120
  -1.0687       1.2803       1.1128
   -.6479        .7778        .6750
  -1.0803       1.5802       1.1844
  -1.2937        .8041       1.1917
   -.9549       1.8303       1.1373
  -1.0700       1.2570       1.1090
  -1.0651       1.0741       1.0670
  -1.0088       1.6182       1.1358
   -.8025        .8441        .8111
   -.8527        .7310        .8273
   -.7300        .7924        .7430
   -.9688        .8208        .9379
  -1.2445        .7988       1.1517
   -.9430       1.0143        .9578
  -1.0437        .6891        .9699
  -1.1330       1.3060       1.1690
  -1.0375        .7272        .9729
  -1.0788        .9696       1.0561
   -.8826        .6923        .8430
   -.7988        .6949        .7772
   -.7528        .6144        .7240
   -.9664        .9850        .9703
   -.5927        .7535        .6262
  -1.2991       1.2051       1.2795
   -.9529        .9868        .9599
  -1.1268       1.2740       1.1575
   -.7973        .8259        .8033
   -.9257        .9739        .9358
  -1.3797       1.7341       1.4535
   -.7436        .8832        .7727
   -.7434        .6664        .7274
  -1.0979        .9626       1.0697
   -.9570        .8659        .9380
  -1.0292       1.3628       1.0987
   -.9882       1.4469       1.0838
  -1.2985        .9699       1.2301
   -.9157        .9286        .9184
   -.8239        .7874        .8163
  -1.0953        .8476       1.0437
   -.9660        .7957        .9305
   -.9590       1.3074       1.0316
   -.6487        .9324        .7078
  -1.1068       1.3335       1.1540
  -1.0980        .7132       1.0179
   -.7963        .6881        .7738
  -1.0721        .9853       1.0541
   -.7400        .7990        .7523
  -1.1483       1.4909       1.2197
   -.7806        .7271        .7695
   -.8994       1.0997        .9411
   -.8684        .7972        .8536
   -.7727        .7986        .7781
  -1.0734       1.2490       1.1099
   -.8210        .9674        .8515
  -1.0675        .8178       1.0155
   -.8365        .6567        .7990
  -1.1880        .8707       1.1219
  -1.0014       1.2142       1.0458
   -.6299        .7598        .6570
  -1.0378       1.1541       1.0620
  -1.0796        .8351       1.0286
  -1.3397       1.1905       1.3086
   -.9111        .6969        .8665
  -1.1227       1.5390       1.2094
  -1.0313       1.2033       1.0671
   -.8816       1.2729        .9631
   -.8998        .6408        .8459
   -.8025       1.0113        .8460
   -.9100       1.0152        .9319
  -1.0052       1.2192       1.0498
   -.6328        .7426        .6556
  -1.1578        .8475       1.0932
  -1.6600       1.3254       1.5903
  -1.0669       1.4027       1.1369
   -.7319        .8338        .7532
   -.7302       1.0944        .8060
   -.9202        .9398        .9243
   -.6726        .5787        .6530
   -.6274        .8401        .6717
  -1.3476        .8219       1.2381
  -1.2419       1.8467       1.3679
   -.8806        .8802        .8805
  -1.0984       2.0120       1.2887
  -1.0085        .8257        .9704
   -.9114        .6880        .8648
   -.9068        .7117        .8661
   -.9827       1.1132       1.0099
  -1.2607       2.4975       1.5184
  -1.0101       1.0534       1.0191
   -.8731        .8511        .8685
  -1.0516        .8671       1.0131
  -1.0906       1.0344       1.0789
  -1.3720        .7327       1.2388
   -.9565       1.0376        .9734
   -.8421        .6047        .7927
   -.8518        .8423        .8498
   -.8469       1.0179        .8825
   -.9087       1.1246        .9537
  -1.3733       1.1469       1.3261
  -1.0127       1.3195       1.0766
   -.7591        .8815        .7846
   -.9239       1.8264       1.1119
   -.7574        .9133        .7899
   -.8257       1.1483        .8929
  -1.0883        .9994       1.0698
   -.9876        .9576        .9814
   -.9739        .8154        .9409
  -1.0852       1.1185       1.0921
   -.8843        .8326        .8736
   -.8886        .8374        .8779
   -.8163        .7152        .7952
   -.7671        .6486        .7424
  -1.0277       1.0312       1.0285
   -.9631        .7401        .9166
   -.9839        .7477        .9347
  -1.0945       1.3667       1.1513
   -.9725       1.2508       1.0305
  -1.1600        .8935       1.1045
   -.6667        .8318        .7011
   -.8087        .8955        .8268
   -.7564       1.1223        .8327
   -.6481        .8096        .6817
   -.8288       1.0284        .8704
   -.8873       1.0661        .9245
  -1.0564       1.0152       1.0478
  -1.0943       1.6985       1.2202
   -.9585        .7021        .9051
  -1.4514       1.1157       1.3815
  -1.4239       1.1275       1.3622
   -.6588        .7377        .6753
   -.8400        .6483        .8000
  -1.3308        .9334       1.2480
  -1.3173        .8354       1.2169
  -1.2768       1.7006       1.3651
  -1.0451       1.2917       1.0965
   -.8341        .9708        .8626
   -.9726        .7631        .9289
   -.7257        .7212        .7248
  -1.0595       1.2609       1.1014
   -.6970        .9273        .7449
   -.9336        .7974        .9052
  -1.4908       1.4263       1.4774
  -1.1395        .8420       1.0775
   -.9170       1.3920       1.0160
  -1.3501       1.1082       1.2998
  -1.2123        .8065       1.1277
   -.8230        .7946        .8171
   -.9057        .9264        .9100
   -.8440        .8144        .8378
   -.7678        .8954        .7944
  -1.4190       1.1013       1.3528
   -.8683       1.0868        .9138
   -.8282        .9565        .8550
   -.6716        .8491        .7086
  -1.7323        .7616       1.5301
   -.9822       1.1965       1.0268
   -.8307       1.0174        .8696
   -.8274        .6537        .7912
   -.7152        .8969        .7530
  -1.3017        .8800       1.2138
  -1.5771       1.5398       1.5693
   -.6267        .7122        .6445
   -.9521        .9958        .9612
  -1.1353        .9010       1.0865
   -.9166        .8609        .9050
   -.9368        .7396        .8957
  -1.6942       1.0168       1.5531
  -1.2255       1.0068       1.1800
   -.8236       1.0226        .8650
  -1.1482       1.5369       1.2292
   -.8142        .9516        .8428
  -1.3243       1.4807       1.3569
  -1.0721        .8996       1.0361
  -1.8624       1.4051       1.7671
  -1.1729       1.5479       1.2510
   -.7650        .8338        .7793
   -.6599        .6706        .6621
   -.8333       1.3027        .9311
   -.9261       1.1599        .9749
  -1.0478        .9382       1.0250
   -.9133        .7843        .8864
   -.8420        .8246        .8384
  -1.1544        .8697       1.0951
  -1.1794       1.3722       1.2196
   -.6799        .6046        .6642
   -.8608        .6605        .8190
  -2.6300       1.1569       2.3231
   -.9640        .9654        .9643
  -1.3105        .8056       1.2053
   -.5909        .5713        .5868
  -1.0414        .8846       1.0087
  -1.0129       1.3455       1.0822
   -.7709        .9024        .7983
